STIG_ID,STIG_Title,STIG_Severity,STIG_File,CCI_ID,CCI_Definition,NIST_800-53_Refs,NIST_800-171_Refs,NIST_800-172_Refs,Control_Family,CMMC_Level1_Practice,CMMC_Level2_Practice,CMMC_Level3_Practice,SPRS_Weight
SV-101909r1_rule,The MobileIron Core v10 server must be able to limit user enrollment of devices that do not have required OS type and version.,medium,U_MobileIron_Core_v10-x_MDM_STIG_V1R1_Manual-xccdf.xml,CCI-000366,Implement the security configuration settings.,CM-6 b; CM-6.1 (iv),3.4.2,,Configuration Management,CM.L1-3.4.2,CM.L2-3.4.2,,3
SV-101911r1_rule,The MobileIron Core v10 server or platform must be configured to initiate a session lock after a 15-minute period of inactivity.,medium,U_MobileIron_Core_v10-x_MDM_STIG_V1R1_Manual-xccdf.xml,CCI-000057,Prevent further access to the system by initiating a device lock after organization-defined time period of inactivity; and/or requiring the user to initiate a device lock before leaving the system una,AC-11 a; AC-11.1 (ii),3.1.10,,Access Control,,AC.L2-3.1.10,,5
SV-101913r1_rule,"The MobileIron Core v10 server must be configured to transfer MobileIron Core v10 server logs to another server for storage, analysis, and reporting. Note: MobileIron Core v10 server logs include logs",medium,U_MobileIron_Core_v10-x_MDM_STIG_V1R1_Manual-xccdf.xml,CCI-001851,"Transfer audit logs per organization-defined frequency to a different system, system component, or media than the system or system component conducting the logging.",AU-4 (1),,,,,,,
SV-101915r1_rule,The MobileIron Core v10 server must be configured to display the required DoD warning banner upon administrator logon. Note: This requirement is not applicable if the TOE platform is selected in FTA_T,low,U_MobileIron_Core_v10-x_MDM_STIG_V1R1_Manual-xccdf.xml,CCI-000048,Display an organization-defined system use notification message or banner to users before granting access to the system that provides privacy and security notices consistent with applicable federal la,AC-8 a; AC-8.1 (ii),3.1.9,,Access Control,,AC.L2-3.1.9,,5
SV-101917r1_rule,The MobileIron Core v10 server must be configured with a periodicity for reachable events of six hours or less for the following commands to the agent: - query connectivity status; - query the current,medium,U_MobileIron_Core_v10-x_MDM_STIG_V1R1_Manual-xccdf.xml,CCI-002696,Verify correct operation of organization-defined security functions.,SI-6 a,3.14.5,,System and Information Integrity,,SI.L2-3.14.5,,3
SV-101919r1_rule,"The MobileIron Core v10 server must be configured to have at least one user in the following Administrator roles: Server primary administrator, security configuration administrator, device user group ",medium,U_MobileIron_Core_v10-x_MDM_STIG_V1R1_Manual-xccdf.xml,CCI-002227,Restrict privileged accounts on the system to organization-defined personnel or roles.,AC-6 (5),3.1.5,,Access Control,,AC.L2-3.1.5,,5
SV-101921r1_rule,The MobileIron Core v10 server must be configured to implement FIPS 140-2 mode for all server encryption (if not automatically configured during server install).,medium,U_MobileIron_Core_v10-x_MDM_STIG_V1R1_Manual-xccdf.xml,CCI-001145,"The organization employs, at a minimum, FIPS-validated cryptography to protect unclassified information.",SC-13 (1); SC-13 (1).1,3.13.11,,System and Communications Protection,,SC.L2-3.13.11,,5
SV-101923r1_rule,Authentication of MDM platform accounts must be configured so they are implemented via an enterprise directory service.,medium,U_MobileIron_Core_v10-x_MDM_STIG_V1R1_Manual-xccdf.xml,CCI-000015,Support the management of system accounts using organization-defined automated mechanisms.,AC-2 (1); AC-2 (1).1,3.1.2,,Access Control,AC.L1-3.1.2,AC.L2-3.1.2,,5
SV-101925r1_rule,The MDM server platform must be protected by a DoD-approved firewall.,medium,U_MobileIron_Core_v10-x_MDM_STIG_V1R1_Manual-xccdf.xml,CCI-000382,"Configure the system to prohibit or restrict the use of organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services.",CM-7; CM-7 b; CM-7.1 (iii),3.4.6,,Configuration Management,,CM.L2-3.4.6,,3
SV-101927r1_rule,"The firewall protecting the MDM server platform must be configured to restrict all network traffic to and from all addresses with the exception of ports, protocols, and IP address ranges required to s",medium,U_MobileIron_Core_v10-x_MDM_STIG_V1R1_Manual-xccdf.xml,CCI-000382,"Configure the system to prohibit or restrict the use of organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services.",CM-7; CM-7 b; CM-7.1 (iii),3.4.6,,Configuration Management,,CM.L2-3.4.6,,3
