CCI_ID,NIST_53_Ref,Definition
CCI-000001,AC-1 a,"The organization develops an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance."
CCI-000001,AC-1.1 (i and ii),"The organization develops an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance."
CCI-000001,AC-1 a 1,"The organization develops an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance."
CCI-000002,AC-1 a,"Disseminate the organization-level; mission/business process-level; and/or system-level access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordinatio"
CCI-000002,AC-1.1 (iii),"Disseminate the organization-level; mission/business process-level; and/or system-level access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordinatio"
CCI-000002,AC-1 a 1,"Disseminate the organization-level; mission/business process-level; and/or system-level access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordinatio"
CCI-000002,AC-1 a 1 (a),"Disseminate the organization-level; mission/business process-level; and/or system-level access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordinatio"
CCI-000003,AC-1 a,Review and update the current access control policy on an organization-defined frequency.
CCI-000003,AC-1.2 (ii),Review and update the current access control policy on an organization-defined frequency.
CCI-000003,AC-1 b 1,Review and update the current access control policy on an organization-defined frequency.
CCI-000003,AC-1 c 1,Review and update the current access control policy on an organization-defined frequency.
CCI-000004,AC-1 b,The organization develops procedures to facilitate the implementation of the access control policy and associated access controls.
CCI-000004,AC-1.1 (iv and v),The organization develops procedures to facilitate the implementation of the access control policy and associated access controls.
CCI-000004,AC-1 a 2,The organization develops procedures to facilitate the implementation of the access control policy and associated access controls.
CCI-000005,AC-1 b,Disseminate procedures to facilitate the implementation of the organization-level; mission/business process-level; and/or system-level access control policy and associated access controls to the organ
CCI-000005,AC-1.1 (vi),Disseminate procedures to facilitate the implementation of the organization-level; mission/business process-level; and/or system-level access control policy and associated access controls to the organ
CCI-000005,AC-1 a 2,Disseminate procedures to facilitate the implementation of the organization-level; mission/business process-level; and/or system-level access control policy and associated access controls to the organ
CCI-000006,AC-1 b,Review and update the current access control procedures on an organization-defined frequency.
CCI-000006,AC-1.2 (iv),Review and update the current access control procedures on an organization-defined frequency.
CCI-000006,AC-1 b 2,Review and update the current access control procedures on an organization-defined frequency.
CCI-000006,AC-1 c 2,Review and update the current access control procedures on an organization-defined frequency.
CCI-000007,AC-2 a,"The organization manages information system accounts by identifying account types (i.e., individual, group, system, application, guest/anonymous, and temporary)."
CCI-000007,AC-2.1 (i),"The organization manages information system accounts by identifying account types (i.e., individual, group, system, application, guest/anonymous, and temporary)."
CCI-000008,AC-2 b,The organization establishes conditions for group membership.
CCI-000008,AC-2.1 (i),The organization establishes conditions for group membership.
CCI-000008,AC-2 c,The organization establishes conditions for group membership.
CCI-000009,AC-2 c,The organization manages information system accounts by identifying authorized users of the information system and specifying access privileges.
CCI-000009,AC-2.1 (i),The organization manages information system accounts by identifying authorized users of the information system and specifying access privileges.
CCI-000010,AC-2 d,Require approvals by organization-defined personnel or roles for requests to create accounts.
CCI-000010,AC-2.1 (i),Require approvals by organization-defined personnel or roles for requests to create accounts.
CCI-000010,AC-2 e,Require approvals by organization-defined personnel or roles for requests to create accounts.
CCI-000011,AC-2 e,"Create, enable, modify, disable, and remove system accounts in accordance with organization-defined procedures."
CCI-000011,AC-2.1 (i),"Create, enable, modify, disable, and remove system accounts in accordance with organization-defined procedures."
CCI-000011,AC-2 f,"Create, enable, modify, disable, and remove system accounts in accordance with organization-defined procedures."
CCI-000012,AC-2 j,Review accounts for compliance with account management requirements per organization-defined frequency.
CCI-000012,AC-2.1 (i),Review accounts for compliance with account management requirements per organization-defined frequency.
CCI-000013,AC-2 g,"The organization manages information system accounts by notifying account managers when temporary accounts are no longer required and when information system users are terminated, transferred, or info"
CCI-000013,AC-2.1 (i),"The organization manages information system accounts by notifying account managers when temporary accounts are no longer required and when information system users are terminated, transferred, or info"
CCI-000014,AC-2 i,The organization manages information system accounts by granting access to the system based on a valid access authorization; intended system usage; and other attributes as required by the organization
CCI-000014,AC-2.1 (i),The organization manages information system accounts by granting access to the system based on a valid access authorization; intended system usage; and other attributes as required by the organization
CCI-000015,AC-2 (1),Support the management of system accounts using organization-defined automated mechanisms.
CCI-000015,AC-2 (1).1,Support the management of system accounts using organization-defined automated mechanisms.
CCI-000016,AC-2 (2),Automatically remove or disable temporary and emergency accounts after an organization-defined time-period for each type of account.
CCI-000016,AC-2 (2).1 (ii),Automatically remove or disable temporary and emergency accounts after an organization-defined time-period for each type of account.
CCI-000017,AC-2 (3),Disable accounts when the accounts have been inactive for the organization-defined time-period.
CCI-000017,AC-2 (3).1 (ii),Disable accounts when the accounts have been inactive for the organization-defined time-period.
CCI-000017,AC-2 (3) (d),Disable accounts when the accounts have been inactive for the organization-defined time-period.
CCI-000018,AC-2 (4),Automatically audit account creation actions.
CCI-000018,AC-2 (4).1 (i and ii),Automatically audit account creation actions.
CCI-000019,AC-2 (5) (a),Require that users log out in accordance with the organization-defined time-period of expected inactivity or description of when to log out.
CCI-000019,AC-2 (5).1 (ii),Require that users log out in accordance with the organization-defined time-period of expected inactivity or description of when to log out.
CCI-000019,AC-2 (5),Require that users log out in accordance with the organization-defined time-period of expected inactivity or description of when to log out.
CCI-000020,AC-2 (6),The information system dynamically manages user privileges and associated access authorizations.
CCI-000020,AC-2 (6).1,The information system dynamically manages user privileges and associated access authorizations.
CCI-000021,AC-3 (2),Enforce dual authorization for organization-defined privileged commands and/or other organization-defined actions.
CCI-000021,AC-3 (2).1 (ii),Enforce dual authorization for organization-defined privileged commands and/or other organization-defined actions.
CCI-000022,AC-3 (3) (a),The information system enforces one or more organization-defined nondiscretionary access control policies over an organization-defined set of users and resources.
CCI-000022,AC-3 (3).1 (iii),The information system enforces one or more organization-defined nondiscretionary access control policies over an organization-defined set of users and resources.
CCI-000023,PM-1 a,The organization develops an organization-wide information security program plan that provides sufficient information about the program management controls and common controls (including specification
CCI-000023,PM-1.1 (i),The organization develops an organization-wide information security program plan that provides sufficient information about the program management controls and common controls (including specification
CCI-000024,AC-3 (5),"Prevent access to organization-defined security-relevant information except during secure, non-operable system states."
CCI-000024,AC-3 (5).1 (ii),"Prevent access to organization-defined security-relevant information except during secure, non-operable system states."
CCI-000025,AC-4 (1),"The information system enforces information flow control using explicit security attributes on information, source, and destination objects as a basis for flow control decisions."
CCI-000025,AC-4 (1).1,"The information system enforces information flow control using explicit security attributes on information, source, and destination objects as a basis for flow control decisions."
CCI-000026,AC-4 (2),Use protected processing domains to enforce organization-defined information flow control policies as a basis for flow control decisions.
CCI-000026,AC-4 (2).1,Use protected processing domains to enforce organization-defined information flow control policies as a basis for flow control decisions.
CCI-000027,AC-4 (3),Enforce organization-defined information flow control policies.
CCI-000027,AC-4 (3).1 (ii),Enforce organization-defined information flow control policies.
CCI-000028,AC-4 (4),Prevent encrypted information from bypassing organization-defined flow control mechanisms by employing organization-defined procedures or methods.
CCI-000028,AC-4 (4).1,Prevent encrypted information from bypassing organization-defined flow control mechanisms by employing organization-defined procedures or methods.
CCI-000029,AC-4 (5),Enforce organization-defined limitations on embedding data types within other data types.
CCI-000029,AC-4 (5).1 (ii),Enforce organization-defined limitations on embedding data types within other data types.
CCI-000030,AC-4 (6),Enforce information flow control based on organization-defined metadata.
CCI-000030,AC-4 (6).1,Enforce information flow control based on organization-defined metadata.
CCI-000031,AC-4 (7),Enforce one-way information flows using hardware-based flow control mechanisms.
CCI-000031,AC-4 (7).1 (ii),Enforce one-way information flows using hardware-based flow control mechanisms.
CCI-000032,AC-4 (8),Enforce information flow control using organization-defined security policy filters as a basis for flow control decisions for organization-defined information flows.
CCI-000032,AC-4 (8).1 (ii),Enforce information flow control using organization-defined security policy filters as a basis for flow control decisions for organization-defined information flows.
CCI-000032,AC-4 (8) (a),Enforce information flow control using organization-defined security policy filters as a basis for flow control decisions for organization-defined information flows.
CCI-000033,AC-4 (9),The information system enforces the use of human review for organization-defined security policy filters when the system is not capable of making an information flow control decision.
CCI-000033,AC-4 (9).1 (ii),The information system enforces the use of human review for organization-defined security policy filters when the system is not capable of making an information flow control decision.
CCI-000034,AC-4 (10),Provide the capability for privileged administrators to enable and disable organization-defined security or privacy filters under organization-defined conditions.
CCI-000034,AC-4 (1).1 (ii),Provide the capability for privileged administrators to enable and disable organization-defined security or privacy filters under organization-defined conditions.
CCI-000035,AC-4 (11),Provide the capability for privileged administrators to configure the organization-defined security or privacy policy filters to support different security or privacy policies.
CCI-000035,AC-4 (11).1 (ii),Provide the capability for privileged administrators to configure the organization-defined security or privacy policy filters to support different security or privacy policies.
CCI-000036,AC-5 a,The organization separates organization-defined duties of individuals.
CCI-000036,AC-5.1 (i),The organization separates organization-defined duties of individuals.
CCI-000037,AC-5 c,The organization implements separation of duties through assigned information system access authorizations.
CCI-000037,AC-5.1 (iii),The organization implements separation of duties through assigned information system access authorizations.
CCI-000038,AC-6 (1),The organization explicitly authorizes access to organization-defined security functions and security-relevant information.
CCI-000038,AC-6 (1).1 (ii),The organization explicitly authorizes access to organization-defined security functions and security-relevant information.
CCI-000039,AC-6 (2),"Require that users of system accounts, or roles, with access to organization-defined security functions or security-relevant information, use non-privileged accounts or roles, when accessing nonsecuri"
CCI-000039,AC-6 (2).1 (ii),"Require that users of system accounts, or roles, with access to organization-defined security functions or security-relevant information, use non-privileged accounts or roles, when accessing nonsecuri"
CCI-000040,AC-6 (2),"The organization audits any use of privileged accounts, or roles, with access to organization-defined security functions or security-relevant information, when accessing other system functions."
CCI-000040,AC-6 (2).1 (iii),"The organization audits any use of privileged accounts, or roles, with access to organization-defined security functions or security-relevant information, when accessing other system functions."
CCI-000041,AC-6 (3),Authorize network access to organization-defined privileged commands only for organization-defined compelling operational needs.
CCI-000041,AC-6 (3).1 (ii),Authorize network access to organization-defined privileged commands only for organization-defined compelling operational needs.
CCI-000042,AC-6 (3),Document the rationale for authorized network access to organization-defined privileged commands in the security plan for the system.
CCI-000042,AC-6 (3).1 (iii),Document the rationale for authorized network access to organization-defined privileged commands in the security plan for the system.
CCI-000043,AC-7,Defines the maximum number of consecutive invalid logon attempts to the information system by a user during an organization-defined time period.
CCI-000043,AC-7.1 (i),Defines the maximum number of consecutive invalid logon attempts to the information system by a user during an organization-defined time period.
CCI-000043,AC-7 a,Defines the maximum number of consecutive invalid logon attempts to the information system by a user during an organization-defined time period.
CCI-000044,AC-7 a,Enforce the organization-defined limit of consecutive invalid logon attempts by a user during the organization-defined time period.
CCI-000044,AC-7.1 (ii),Enforce the organization-defined limit of consecutive invalid logon attempts by a user during the organization-defined time period.
CCI-000045,AC-7 b,"The organization defines in the security plan, explicitly or by reference, the time period for lock out mode or delay period."
CCI-000045,AC-7.1 (iii),"The organization defines in the security plan, explicitly or by reference, the time period for lock out mode or delay period."
CCI-000046,AC-7 b,The organization selects either a lock out mode for the organization-defined time period or delays the next login prompt for the organization-defined delay period for information system responses to c
CCI-000046,AC-7.1 (iv),The organization selects either a lock out mode for the organization-defined time period or delays the next login prompt for the organization-defined delay period for information system responses to c
CCI-000047,AC-7 b,"The information system delays next login prompt according to the organization-defined delay algorithm, when the maximum number of unsuccessful attempts is exceeded, automatically locks the account/nod"
CCI-000047,AC-7.1 (iv),"The information system delays next login prompt according to the organization-defined delay algorithm, when the maximum number of unsuccessful attempts is exceeded, automatically locks the account/nod"
CCI-000048,AC-8 a,Display an organization-defined system use notification message or banner to users before granting access to the system that provides privacy and security notices consistent with applicable federal la
CCI-000048,AC-8.1 (ii),Display an organization-defined system use notification message or banner to users before granting access to the system that provides privacy and security notices consistent with applicable federal la
CCI-000049,AC-8 a,"The organization defines a system use notification message or banner displayed before granting access to the system that provides privacy and security notices consistent with applicable federal laws, "
CCI-000049,AC-8.1 (i),"The organization defines a system use notification message or banner displayed before granting access to the system that provides privacy and security notices consistent with applicable federal laws, "
CCI-000050,AC-8 b,Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system.
CCI-000050,AC-8.1 (iii),Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system.
CCI-000051,AC-8 a,The organization approves the information system use notification message before its use.
CCI-000051,AC-8.1 (i),The organization approves the information system use notification message before its use.
CCI-000052,AC-9,"Notify the user, upon successful logon (access) to the system, of the date and time of the last logon (access)."
CCI-000052,AC-9.1,"Notify the user, upon successful logon (access) to the system, of the date and time of the last logon (access)."
CCI-000053,AC-9 (1),"Notify the user, upon successful logon/access, of the number of unsuccessful logon/access attempts since the last successful logon/access."
CCI-000053,AC-9 (1).1,"Notify the user, upon successful logon/access, of the number of unsuccessful logon/access attempts since the last successful logon/access."
CCI-000054,AC-10,Limit the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number.
CCI-000054,AC-10.1 (ii),Limit the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number.
CCI-000055,AC-10,Defines the maximum number of concurrent sessions to be allowed for each organization-defined account and/or account type.
CCI-000055,AC-10.1 (i),Defines the maximum number of concurrent sessions to be allowed for each organization-defined account and/or account type.
CCI-000056,AC-11 b,Retain the device lock until the user reestablishes access using established identification and authentication procedures.
CCI-000056,AC-11.1 (iii),Retain the device lock until the user reestablishes access using established identification and authentication procedures.
CCI-000057,AC-11 a,Prevent further access to the system by initiating a device lock after organization-defined time period of inactivity; and/or requiring the user to initiate a device lock before leaving the system una
CCI-000057,AC-11.1 (ii),Prevent further access to the system by initiating a device lock after organization-defined time period of inactivity; and/or requiring the user to initiate a device lock before leaving the system una
CCI-000058,AC-11 a,The information system provides the capability for users to directly initiate session lock mechanisms.
CCI-000058,AC-11,The information system provides the capability for users to directly initiate session lock mechanisms.
CCI-000059,AC-11 a,Defines the time-period of inactivity after which the system initiates a device lock.
CCI-000059,AC-11.1 (i),Defines the time-period of inactivity after which the system initiates a device lock.
CCI-000060,AC-11 (1),"Conceal, via the device lock, information previously visible on the display with a publicly viewable image."
CCI-000060,AC-11 (1).1,"Conceal, via the device lock, information previously visible on the display with a publicly viewable image."
CCI-000061,AC-14 a,Identify organization-defined user actions that can be performed on the system without identification or authentication consistent with organizational missions/business functions.
CCI-000061,AC-14.1 (i),Identify organization-defined user actions that can be performed on the system without identification or authentication consistent with organizational missions/business functions.
CCI-000062,AC-14 (1),The organization permits actions to be performed without identification and authentication only to the extent necessary to accomplish mission/business objectives.
CCI-000062,AC-14 (1).1,The organization permits actions to be performed without identification and authentication only to the extent necessary to accomplish mission/business objectives.
CCI-000063,AC-17 a,The organization defines allowed methods of remote access to the information system.
CCI-000063,AC-17.1 (i),The organization defines allowed methods of remote access to the information system.
CCI-000064,AC-17 b,The organization establishes usage restrictions and implementation guidance for each allowed remote access method.
CCI-000064,AC-17.1 (ii),The organization establishes usage restrictions and implementation guidance for each allowed remote access method.
CCI-000065,AC-17 d,Authorize remote access to the system prior to allowing such connections.
CCI-000065,AC-17.1 (iv),Authorize remote access to the system prior to allowing such connections.
CCI-000065,AC-17 b,Authorize remote access to the system prior to allowing such connections.
CCI-000066,AC-17 e,The organization enforces requirements for remote connections to the information system.
CCI-000066,AC-17.1 (v),The organization enforces requirements for remote connections to the information system.
CCI-000067,AC-17 (1),Employ automated mechanisms to monitor remote access methods.
CCI-000067,AC-17 (1).1,Employ automated mechanisms to monitor remote access methods.
CCI-000068,AC-17 (2),Implement cryptographic mechanisms to protect the confidentiality of remote access sessions.
CCI-000068,AC-17 (2).1,Implement cryptographic mechanisms to protect the confidentiality of remote access sessions.
CCI-000069,AC-17 (3),Route all remote accesses through authorized and managed network access control points.
CCI-000069,AC-17 (3).1 (ii),Route all remote accesses through authorized and managed network access control points.
CCI-000070,AC-17 (4),Authorize the execution of privileged commands via remote access only in a format that provides assessable evidence for organization-defined needs.
CCI-000070,AC-17 (4).1 (i),Authorize the execution of privileged commands via remote access only in a format that provides assessable evidence for organization-defined needs.
CCI-000070,AC-17 (4) (a),Authorize the execution of privileged commands via remote access only in a format that provides assessable evidence for organization-defined needs.
CCI-000071,AC-17 (5),The organization monitors for unauthorized remote connections to the information system on an organization-defined frequency.
CCI-000071,AC-17 (5).1 (ii),The organization monitors for unauthorized remote connections to the information system on an organization-defined frequency.
CCI-000072,AC-17 (6),Protect information about remote access mechanisms from unauthorized use and disclosure.
CCI-000072,AC-17 (6).1,Protect information about remote access mechanisms from unauthorized use and disclosure.
CCI-000073,PM-1 a,Develop an organization-wide information security program plan that provides an overview of the requirements for the security program and a description of the security program management controls and 
CCI-000073,PM-1.1 (i),Develop an organization-wide information security program plan that provides an overview of the requirements for the security program and a description of the security program management controls and 
CCI-000073,PM-1 a 1,Develop an organization-wide information security program plan that provides an overview of the requirements for the security program and a description of the security program management controls and 
CCI-000074,PM-1 a,Develop an organization-wide information security program plan that is approved by a senior official with responsibility and accountability for the risk being incurred to organizational operations (in
CCI-000074,PM-1.1 (i),Develop an organization-wide information security program plan that is approved by a senior official with responsibility and accountability for the risk being incurred to organizational operations (in
CCI-000074,PM-1 a 4,Develop an organization-wide information security program plan that is approved by a senior official with responsibility and accountability for the risk being incurred to organizational operations (in
CCI-000075,PM-1 b,Review and update the organization-wide information security program plan on an organization-defined frequency.
CCI-000075,PM-1.1 (iii),Review and update the organization-wide information security program plan on an organization-defined frequency.
CCI-000076,PM-1 b,Defines the frequency with which to review and update the organization-wide information security program plan.
CCI-000076,PM-1.1 (ii),Defines the frequency with which to review and update the organization-wide information security program plan.
CCI-000077,PM-1 c,The organization updates the plan to address organizational changes and problems identified during plan implementation or security control assessments.
CCI-000077,PM-1.1 (iv),The organization updates the plan to address organizational changes and problems identified during plan implementation or security control assessments.
CCI-000078,PM-2,"Appoint a Senior Information Security Officer with the mission and resources to coordinate, develop, implement, and maintain an organization-wide information security program."
CCI-000078,PM-2.1 (i and ii),"Appoint a Senior Information Security Officer with the mission and resources to coordinate, develop, implement, and maintain an organization-wide information security program."
CCI-000079,AC-17 (7),The organization ensures that remote sessions for accessing an organization-defined list of security functions and security-relevant information employ organization-defined additional security measure
CCI-000079,AC-17 (7).1 (iii),The organization ensures that remote sessions for accessing an organization-defined list of security functions and security-relevant information employ organization-defined additional security measure
CCI-000080,PM-3 a,Include the resources needed to implement the information security programs in capital planning and investment requests and document all exceptions to this requirement.
CCI-000080,PM-3.1 (i and ii),Include the resources needed to implement the information security programs in capital planning and investment requests and document all exceptions to this requirement.
CCI-000081,PM-3 b,The organization employs a business case/Exhibit 300/Exhibit 53 to record the resources required.
CCI-000081,PM-3.1 (iii),The organization employs a business case/Exhibit 300/Exhibit 53 to record the resources required.
CCI-000082,AC-19 a,The organization establishes usage restrictions for organization-controlled mobile devices.
CCI-000082,AC-19.1 (i),The organization establishes usage restrictions for organization-controlled mobile devices.
CCI-000083,AC-19 a,"Establish implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas."
CCI-000083,AC-19.1 (i),"Establish implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas."
CCI-000084,AC-19 b,Authorize connection of mobile devices to organizational systems.
CCI-000084,AC-19.1 (ii),Authorize connection of mobile devices to organizational systems.
CCI-000085,AC-19 c,The organization monitors for unauthorized connections of mobile devices to organizational information systems.
CCI-000085,AC-19.1 (iii),The organization monitors for unauthorized connections of mobile devices to organizational information systems.
CCI-000086,AC-19 d,The organization enforces requirements for the connection of mobile devices to organizational information systems.
CCI-000086,AC-19.1 (iv),The organization enforces requirements for the connection of mobile devices to organizational information systems.
